Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Sharma, S., Kaul, A.","57213924268;57200529936;","A survey on Intrusion Detection Systems and Honeypot based proactive security mechanisms in VANETs and VANET Cloud",2018,"Vehicular Communications","12",,,"138","164",,70,"10.1016/j.vehcom.2018.04.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046450858&doi=10.1016%2fj.vehcom.2018.04.005&partnerID=40&md5=f36560721a41caa907aea777f0b87c55",Review,"Final","",Scopus,2-s2.0-85046450858
"Abdul Rahman, S., Mourad, A., El Barachi, M., Orabi, W.A.","57201798726;9275987400;13408062900;57194946953;","A novel on-demand vehicular sensing framework for traffic condition monitoring",2018,"Vehicular Communications","12",,,"165","178",,20,"10.1016/j.vehcom.2018.03.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046126760&doi=10.1016%2fj.vehcom.2018.03.001&partnerID=40&md5=7841d79fb6020d462e40c50d55bce9e9",Article,"Final","",Scopus,2-s2.0-85046126760
"Sharma, S., Kaul, A.","57213924268;57200529936;","Hybrid fuzzy multi-criteria decision making based multi cluster head dolphin swarm optimized IDS for VANET",2018,"Vehicular Communications","12",,,"23","38",,41,"10.1016/j.vehcom.2017.12.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044452108&doi=10.1016%2fj.vehcom.2017.12.003&partnerID=40&md5=80c50379e1876c95912464c409a09269",Article,"Final","",Scopus,2-s2.0-85044452108
"Zeng, Y., Qiu, M., Ming, Z., Liu, M.","57217432369;57216130886;25960236300;26643265600;","Senior2Local: A machine learning based intrusion detection method for VANETs",2018,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11344 LNCS",,,"417","426",,14,"10.1007/978-3-030-05755-8_41","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058548994&doi=10.1007%2f978-3-030-05755-8_41&partnerID=40&md5=c73d3f55f27d94142905b129a347a2c1",Conference Paper,"Final","",Scopus,2-s2.0-85058548994
"Zhang, C., Chen, K., Zeng, X., Xue, X.","57204243476;57204245219;57204240318;36931934200;","Misbehavior Detection Based on Support Vector Machine and Dempster-Shafer Theory of Evidence in VANETs",2018,"IEEE Access","6",,"8490839","59860","59870",,15,"10.1109/ACCESS.2018.2875678","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055039985&doi=10.1109%2fACCESS.2018.2875678&partnerID=40&md5=603e7bc08514f56f4781b6567e88779a",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85055039985
"Su, C., Gao, Y., Xie, Y., Xue, Y., Ge, L., Li, H.","54879955000;57192275784;57207375661;57196377043;57196374820;36066834200;","A hybrid classifier based on nonlinear-PCA and deep belief networks with applications in dysphagia diagnosis",2017,"Computer Assisted Surgery","22",,,"135","147",,1,"10.1080/24699322.2017.1389391","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032806347&doi=10.1080%2f24699322.2017.1389391&partnerID=40&md5=1ea2522c91a89b2c26b1a8e7f422be96",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85032806347
"Chopra, G., Kumar Jha, R., Jain, S.","57219599124;7101680116;57202523974;","A survey on ultra-dense network and emerging technologies: Security challenges and possible solutions",2017,"Journal of Network and Computer Applications","95",,,"54","78",,38,"10.1016/j.jnca.2017.07.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026526176&doi=10.1016%2fj.jnca.2017.07.007&partnerID=40&md5=4512dd0c95170625c03b9764498c2f7b",Review,"Final","",Scopus,2-s2.0-85026526176
"Sakiz, F., Sen, S.","57190737896;26026084000;","A survey of attacks and detection mechanisms on intelligent transportation systems: VANETs and IoV",2017,"Ad Hoc Networks","61",,,"33","50",,167,"10.1016/j.adhoc.2017.03.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017598555&doi=10.1016%2fj.adhoc.2017.03.006&partnerID=40&md5=e455460af1eceb2501570a584e6f3204",Short Survey,"Final","",Scopus,2-s2.0-85017598555
"Xin, Y., Feng, X., Li, T.-T.","57216094006;56896504200;57194835875;","Position related lightweight Sybil detection approach in VANET",2017,"Tongxin Xuebao/Journal on Communications","38","4",,"110","119",,2,"10.11959/j.issn.1000-436x.2017055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023188596&doi=10.11959%2fj.issn.1000-436x.2017055&partnerID=40&md5=ee8d1be53c6ce3fb5dd76822cc06d9b1",Article,"Final","",Scopus,2-s2.0-85023188596
"Khan, U., Schmidt-Thieme, L., Nanopoulos, A.","57146867600;55890913900;6603555418;","Collaborative SVM classification in scale-free peer-to-peer networks",2017,"Expert Systems with Applications","69",,,"74","86",,16,"10.1016/j.eswa.2016.10.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994056545&doi=10.1016%2fj.eswa.2016.10.008&partnerID=40&md5=b2cfcf7006bbeae731aa2e43fab2338d",Article,"Final","",Scopus,2-s2.0-84994056545
"Korba, A.A., Nafaa, M., Ghamri-Doudane, Y.","56764538900;55807268200;7801687677;","Anomaly-based intrusion detection system for ad hoc networks",2017,"2016 7th International Conference on the Network of the Future, NOF 2016",,,"7810132","","",,10,"10.1109/NOF.2016.7810132","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015153108&doi=10.1109%2fNOF.2016.7810132&partnerID=40&md5=9856da7fa18ff7637c9f38244bffda8b",Conference Paper,"Final","",Scopus,2-s2.0-85015153108
